English word,French word,Frequency
their,leur,1934
often,souvent,116
certain,certain,116
copyright,droits d'auteur,7
should,devrait,1387
proud,fier,142
further,plus loin,116
would,aurait,1974
about,sur,308
version,version,1
those,ceux,458
first,première,337
please,S'il vous plaît,280
least,moins,67
hours,heures,86
hundred,cent,104
which,lequel,1337
number,nombre,36
paper,papier,50
these,celles-ci,1034
other,autre,544
point,point,90
general,général,128
since,depuis,252
effect,effet,41
right,droite,193
subject,matière,66
copies,copies,3
although,bien que,33
plain,plaine,83
request,demande,32
cannot,ne peux pas,676
party,fête,38
receive,recevoir,71
discover,découvrir,27
within,dans,201
money,argent,92
person,la personne,76
return,revenir,116
second,seconde,91
above,au dessus,96
public,Publique,53
works,travaux,19
freely,librement,34
distributed,distribué,1
machine,machine,2
readable,lisible,1
think,pense,791
desire,le désir,161
might,pourrait,414
never,jamais,865
tender,soumissionner,121
bright,brillant,50
where,où,605
sweet,sucré,580
fresh,Frais,74
waste,déchets,34
grave,la tombe,80
shall,doit,3016
small,petit,73
worth,vaut,158
being,étant,526
beauty,beauté,132
treasure,Trésor,33
praise,louange,119
answer,répondre,255
child,enfant,92
blood,du sang,338
glass,verre,32
repair,réparation,29
whose,dont,378
lovely,charmant,51
through,par,208
golden,d'or,85
single,Célibataire,53
image,image,37
nothing,rien,365
given,donné,164
great,génial,758
having,ayant,111
nature,la nature,188
lives,vies,116
gentle,doux,312
frame,Cadre,35
every,chaque,455
dwell,habiter,29
summer,été,41
winter,hiver,29
quite,assez,55
walls,des murs,51
flowers,fleurs,24
though,bien que,381
substance,substance,26
still,encore,331
willing,prêt,26
breed,race,39
another,un autre,248
times,fois,158
could,pourrait,533
death,décès,328
living,vivant,81
light,lumière,139
burning,brûlant,36
under,sous,196
looks,regards,132
sacred,sacré,46
strong,fort,130
youth,jeunesse,142
mortal,mortel,83
weary,se lasser,53
feeble,faible,18
unless,sauf si,64
music,la musique,83
pleasure,plaisir,84
offend,offenser,45
chide,gronder,35
parts,les pièces,71
husband,mari,125
happy,heureux,157
prove,prouver,203
world,monde,342
widow,veuve,36
private,privé,54
shape,forme,54
spend,dépenser,60
toward,vers,83
others,autres,96
shame,la honte,148
chief,chef,27
change,changement,113
presence,présence,64
bounty,prime,22
meant,signifiait,40
count,compter,29
tells,raconte,39
brave,courageux,134
behold,voir,94
barren,Dénudé,31
green,vert,52
question,question,87
themselves,se,93
longer,plus long,74
coming,venir,77
again,encore,242
after,après,267
issue,problème,77
house,maison,266
eternal,éternel,33
stars,étoiles,38
fortune,fortune,144
brief,bref,35
heaven,paradis,285
knowledge,connaissance,49
constant,constant,36
truth,vérité,163
together,ensemble,79
thrive,prospérer,30
store,boutique,24
consider,considérer,30
thing,chose,251
little,peu,401
nought,néant,42
shows,montre,79
secret,secret,52
perceive,apercevoir,83
state,Etat,165
before,avant,486
tyrant,tyran,28
means,veux dire,197
stand,supporter,377
maiden,jeune fille,34
painted,peint,44
outward,vers l'extérieur,45
keeps,garde,63
drawn,tiré,53
believe,croyez,159
knows,sait,170
write,écrire,89
yours,le tiens,77
alive,vivant,35
twice,deux fois,52
shake,secouer,80
short,court,61
complexion,complexion,23
sometime,parfois,56
course,cours,100
blunt,cru,21
earth,Terre,138
teeth,les dents,28
fierce,féroce,34
sorry,Pardon,71
forbid,interdire,39
there,Là,914
despite,malgré,34
master,Maître,202
mistress,maîtresse,86
heart,cœur,526
acquainted,connaissance,34
false,faux,204
object,objet,26
souls,âmes,64
woman,femme,152
wrought,forgé,34
purpose,objectif,113
truly,vraiment,77
breast,Sein,35
elder,aîné,28
therefore,par conséquent,280
nurse,infirmière,21
forget,oublier,73
perfect,parfait,43
strength,force,76
plead,plaider,34
tongue,langue,229
learn,apprendre,66
painter,peintre,6
table,table,29
wherein,où,60
hanging,pendaison,21
turns,se tourne,41
therein,la bride,40
cunning,ruse,56
grace,la grâce,163
favour,favoriser,65
triumph,triomphe,23
pride,fierté,55
frown,froncer les sourcils,24
glory,gloire,61
merit,mérite,32
written,écrit,29
witness,témoin,74
thought,pensée,281
apparel,vêtements,24
haste,hâte,72
limbs,membres,29
darkness,obscurité,23
blind,aveugle,48
sight,vue,93
shadow,ombre,46
jewel,bijou,34
black,noir,109
night,nuit,270
quiet,silencieux,47
benefit,avantage,29
enemies,ennemis,35
consent,consentement,51
hands,mains,167
farther,plus loin,26
clouds,des nuages,35
flatter,flatter,29
disgrace,disgrâce,30
alone,seul,79
trouble,difficulté,55
curse,malédiction,69
enjoy,prendre plaisir,33
almost,presque,135
wealth,richesse,51
scorn,mépris,68
drown,noyer,35
precious,précieux,68
grieve,pleurer,36
account,Compte,30
while,tandis que,122
loving,aimant,105
buried,enterré,35
lovers,les amoureux,34
bones,des os,37
grown,grandi,53
birth,naissance,30
brought,apporté,178
march,Mars,55
better,mieux,474
glorious,glorieux,37
morning,Matin,68
sovereign,souverain,64
early,de bonne heure,35
didst,didst,140
promise,promettre,68
forth,en avant,227
without,sans pour autant,270
